App Name,App ID,App Version,Install Result,Launch Result,Comment
Find The Cat - Spot It!,com.ventogames.findthecat ,3.6.0 ,PASS ,PASS ,nan
Gossip Harbor: Merge & Story,com.mergegames.gossipharbor ,3.61.0 ,PASS ,PASS ,nan
2248: Number Puzzle 2048,com.oakgames.linked2248.numberpuzzle ,2.8.6 ,PASS ,PASS ,nan
Local Weather: Live Forecast,com.localweather.radar.climate ,1.6.1 ,PASS ,PASS ,nan
Amazon Freevee: Free Movies/TV,com.amazon.imdb.tv.mobile.app ,1.16.0 ,PASS ,PASS ,nan
Finch: Self-Care Pet,com.finch.finch ,3.72.85 ,PASS ,PASS ,nan
"Flip: Watch, Create, Shop",com.flipfit ,6.5.1 ,PASS ,PASS ,nan
Room Sort - Floor Plan Game,com.gamincat.roomsort ,0.31.0 ,PASS ,PASS ,nan
Bus Escape: Traffic Jam,com.abi.busjam.sortpuzzle ,1.6.22 ,PASS ,PASS ,nan
GoodRx: Prescription Coupons,com.goodrx ,8.46.0 ,PASS ,PASS ,nan
Fruit Merge: Juicy Drop Game,com.melon.drop.fruit.merge.master ,2.17,PASS ,PASS ,nan
Instacart: Earn money to shop,com.instacart.shopper ,4.432.6-p ,PASS ,PASS ,nan
Candy Crush Solitaire,com.king.apps.candysolitaire ,1.0.368 ,PASS ,PASS ,nan
Solitaire: Classic Card Game,com.newpubco.klondikesolitaire ,4.2.2 ,PASS ,PASS ,nan
Substack,com.substack.app ,2.40.4 ,PASS ,PASS ,nan
Infinity 8 Ball Pool King,com.sports.eightball.pool.rival ,2.58.0 ,PASS ,PASS ,nan
Vita Solitaire for Seniors,com.vitastudio.solitaire ,1.30.0 ,PASS ,PASS ,nan
Bingo Legends,com.bingo.legends.game ,1.0.0 ,PASS ,PASS ,nan
Spark Driver,com.walmart.sparkdriver ,NA ,FAIL ,NA ,Not compatible with this version
Pizza Ready!,io.supercent.pizzaidle ,31.0.0 ,PASS ,PASS ,nan
PS Remote Play,com.playstation.remoteplay ,7.5.2 ,PASS ,PASS ,nan
Spades (Classic Card Game),com.staplegames.spades ,1.8,PASS ,PASS ,nan
Offline Games - No Wifi Games,com.JindoBlu.OfflineGames ,2.13.3 ,PASS ,PASS ,nan
LG ThinQ,com.lgeha.nuts ,5.0.38740 ,PASS ,PASS ,nan
Shanghai Mahjongg,com.mahjong.op.gp ,1.12.2 ,PASS ,PASS ,nan
Screw Sort 3D,screw.sort.match.jam.puzzle ,1.024,PASS ,PASS ,nan
Animals & Coins Adventure Game,com.innplaylabs.animalkingdomraid ,15.3.0 ,PASS ,PASS ,nan
Archero 2,com.xq.archeroii ,1.0.14 ,PASS ,PASS ,nan
One  Mobile Banking,com.onefinance.one ,4.50.4 ,PASS ,PASS ,nan
Impulse - Brain Training Games,gen.tech.impulse.android ,1.2.9 ,PASS ,PASS ,nan
Solo Leveling:Arise,com.netmarble.sololv ,1.2.35 ,PASS ,PASS ,nan
UKG Pro,com.ukg.oneapp ,4.02.01.0462 ,PASS ,PASS ,nan
KFC US - Ordering App,com.kfc.us.mobile ,2025.2.0 ,PASS ,PASS ,nan
Tile Dynasty: Triple Mahjong,com.tripledot.tile.dynasty ,2.44.28 ,PASS ,PASS ,nan
Match Villains,com.goodjobgames.matchvillains ,5755,PASS ,PASS ,nan
Truth Social,com.truthsocial.android.app ,1.15.0 ,PASS ,PASS ,nan
Goods Master 3D: Puzzle Games,com.goods.master3d.triple.puzzle ,1.13.1 ,PASS ,PASS ,nan
Screw Master 3D: Pin Puzzle,com.dcjnmed.jifqq ,1.3.6.0 ,PASS ,PASS ,nan
Screw Pin Out!,com.screwout.nutsjam ,1.0.39 ,PASS ,PASS ,nan
Spades: Classic Card Game,com.newpubco.spades ,1.3.1 ,PASS ,PASS ,nan
Tile Collector,com.staplegames.tilecollector ,2.1,PASS ,PASS ,nan
Perfect Tidy,com.abi.perfect.tidy ,1.2.35 ,PASS ,PASS ,nan
Match Match Match!,com.fiogonia.mmm ,1.4.0 ,PASS ,PASS ,nan
Number Match - Number Games,com.easybrain.number.puzzle.game ,1.30.0 ,PASS ,PASS ,nan
Car Jam,car.jam.traffic.seat.unblock ,1.023,PASS ,PASS ,nan
Solitaire Master!,solitaire.classic.hungrystudio.free.klondike.card.patience ,3.2.8 ,PASS ,PASS ,nan
100+ Offline Games No WiFi Fun,com.media720.games2020 ,3.31,PASS ,PASS ,nan
Local News: Headlines & Alerts,com.opera.app.news.local ,12.5.2254.75877 ,PASS ,PASS ,nan
Capital One Shopping,com.wikibuy.prod.main ,2.80.0 ,PASS ,PASS ,nan
Jigsaw Master - Jigsaw Puzzles,com.mintgames.jigsawmaster ,1.0.13 ,PASS ,PASS ,nan
Chai: Chat AI Platform,com.Beauchamp.Messenger.external ,0.4.280 ,PASS ,PASS ,nan
Balloon Master 3D:Triple Match,com.balloon.master.cube.match ,1.7.2 ,PASS ,PASS ,nan
ShutEye®: Sleep Tracker,health.sleep.sounds.tracker.alarm.calm ,1.7.3 ,PASS ,PASS ,nan
PrizePicks - Fantasy Sports,com.myprizepicks.myprizepicks ,12.5.0 ,PASS ,FAIL ,nan
Plenty of Fish Dating App,com.pof.android ,5.38.0.1515539 ,PASS ,PASS ,nan
Easy Homescreen,easy.launcher ,1.7.33 ,PASS ,PASS ,nan
AMC+,com.amcplus.amcfullepisodes ,1.8.30.1 ,PASS ,PASS ,nan
Shanghai Tile: Mahjong Match,com.opgames.mahjongtile.gp ,1.13.1 ,PASS ,PASS ,nan
Tower War - Tactical Conquest,games.vaveda.militaryoverturn ,1.24.1 ,PASS ,PASS ,nan
AARP Now,com.aarp.app ,4.1.1 ,PASS ,PASS ,nan
Goods Puzzle: 3D Sorting Games,sorting.games.goods.sort.triple.match3d.puzzle.stuff ,2.3.2 ,PASS ,PASS ,nan
Dominos Game Classic Dominoes,com.fiogonia.dominoes ,2.7.0 ,PASS ,PASS ,nan
Survivor.io,com.dxx.firenow ,3.7.1 ,PASS ,PASS ,nan
Hexa Away,jp.co.goodroid.hyper.hexaaway ,2.2.0 ,PASS ,PASS ,nan
Bus Frenzy - Traffic Jam,com.color.busfrenzy ,6.9,PASS ,PASS ,nan
Yazy the yatzy dice game,com.fiogonia.yatzy ,1.4.2 ,PASS ,PASS ,nan
BET+,com.viacom.betplus ,178.102.0 ,PASS ,PASS ,nan
Find Hidden Objects - Spot It!,com.yolo.hiddenobjects ,2.28,PASS ,PASS ,nan
ColorBlock : Combo Blast,com.blockpuzzle.comboblastmaster.freegame ,2.2.0 ,PASS ,PASS ,nan
Sydney Health,com.anthem.sydney ,8.9.0 ,PASS ,PASS ,nan
Solitaire Master - Card Game,com.intensedev.classicsolitaire.gp ,1.0.9 ,PASS ,PASS ,nan
Barclays US,com.barclaycardus ,NA ,FAIL ,NA ,nan
Bubble Shooter! Extreme,bubble.shooter.exxtreme ,2.9,PASS ,PASS ,nan
Bluey: Let's Play!,com.budgestudios.googleplay.BlueyBLU ,2025.2.0 ,PASS ,PASS ,nan
CoinSnap - Coin Identifier,com.coinidentifyer.ai ,1.7.13 ,PASS ,PASS ,nan
Solitaire:Classic Deluxe Cards,com.solitaire.cards.deluxe ,1.2.3 ,PASS ,PASS ,nan
Zangi Private Messenger,com.beint.zangi ,6.2.1 ,PASS ,PASS ,nan
Empower®,com.participantmobileapp ,2025.03.12 (2025.03.12) ,PASS ,PASS ,nan
Mini Games: Calm & Relax,com.uc.minigame.relax ,1.0.53 ,PASS ,PASS ,nan
Truist Mobile,com.truist.mobile ,4.0.0 ,PASS ,PASS ,nan
My Straight Talk: Mobile App,com.tracfone.straighttalk.myaccount ,R27.5.1 ,PASS ,PASS ,nan
Goods Sort - Sorting Games,closet.match.pair.matching.games ,4.203,PASS ,PASS ,nan
BALA AI: Character AI Chat App,com.bala.ai.android ,3.6.0 ,PASS ,PASS ,nan
Cup Heroes,com.studio501.cuphero ,1.12.2 ,PASS ,PASS ,nan
Solitaire Verse,com.gimica.solitaireverse ,1.2.3 ,PASS ,PASS ,nan
Local News: Breaking & Latest,com.novanews.localnews.en ,2.6.1 ,PASS ,PASS ,nan
MeloShort - Movies&Dramas,com.drama.happy.look ,2.20.01 ,PASS ,PASS ,nan
My Talking Angela 2,com.outfit7.mytalkingangela2 ,25.1.1.30240 ,PASS ,PASS ,nan
Acorns: Invest For Your Future,com.acorns.android ,4.135.0 ,PASS ,PASS ,nan
Last Z: Survival Shooter,com.readygo.barrel.gp ,1.250.650 ,PASS ,PASS ,nan
ParentSquare,com.parentsquare.psapp ,2.83.1 ,PASS ,PASS ,nan
Bus Out,com.ig.bus.out ,1.133,PASS ,PASS ,nan
DARK AND DARKER MOBILE,com.krafton.dndm ,0.1106.01 ,PASS ,FAIL ,nan
Woodle Screw Jam: Nuts & Bolts,com.wood.bolt.wordle.screw.nuts.puzzle ,1.1.0 ,PASS ,PASS ,nan
Link to Windows,com.microsoft.appmanager ,NA ,FAIL ,NA ,nan
Viki: Asian Dramas & Movies,com.viki.android ,NA ,FAIL ,NA ,nan
