App Name,App ID,App Category,Developer,App Version,Updated Date,TargetSdk,Permissions
USAA Mobile,com.usaa.mobile.android.usaa,FINANCE,USAA,10.74.2,"Apr 18, 2025",34,"Contacts,Location,Photos/Media/Files,Storage,Camera,Wi-Fi connection information,Other,Uncategorized"
Fidelity Investments,com.fidelity.android,FINANCE,Fidelity Investments,4.03,"Apr 17, 2025",35,"Identity,Contacts,Location,Phone,Photos/Media/Files,Storage,Camera,Microphone,Wi-Fi connection information,Device ID & call information,Other,Uncategorized"
PNC Mobile,com.pnc.ecommerce.mobile,FINANCE,"PNC Bank, N.A.",4.56,"Apr 16, 2025",34,"Contacts,Location,Phone,Photos/Media/Files,Storage,Camera,Wi-Fi connection information,Device ID & call information,Other,Uncategorized"
Safeway Deals & Delivery,com.safeway.client.android.safeway,SHOPPING,"Albertsons Companies, Inc.",2025.12.0,"Apr 16, 2025",34,"Location,Phone,Photos/Media/Files,Storage,Camera,Wi-Fi connection information,Device ID & call information,Other,Uncategorized"
myAT&T,com.att.myWireless,PRODUCTIVITY,"AT&T Services, Inc.",2024.11.2,"Apr 29, 2025",34,"Calendar,Location,Photos/Media/Files,Storage,Camera,Wi-Fi connection information,Other,Uncategorized"
SONIC Drive-In - Order Online,com.sonic.sonicdrivein,FOOD_AND_DRINK,"Sonic Industries Services, Inc.",5.60.6,"Mar 31, 2025",34,"Location,Phone,Photos/Media/Files,Storage,Camera,Wi-Fi connection information,Device ID & call information,Other,Uncategorized"
Ad It UpSave on Your Bills,com.adfone.aditup,SHOPPING,"Play2Pay, Inc.",3.08.00,"Apr 21, 2025",34,"Location,Photos/Media/Files,Storage,Camera,Wi-Fi connection information,Other,Uncategorized"
Amex,com.americanexpress.android.acctsvcs.us,FINANCE,American Express,7.17.1,"Apr 29, 2025",34,"Contacts,Location,Phone,Camera,Wi-Fi connection information,Device ID & call information,Other,Uncategorized"
Text Free: Second Call Number,com.pinger.textfree,SOCIAL,"Pinger, Inc",12.91,"Apr 22, 2025",,"Device & app history,Identity,Contacts,Location,Phone,Photos/Media/Files,Storage,Microphone,Wi-Fi connection information,Device ID & call information,Other,Uncategorized"
discovery+ | Stream TV Shows,com.discovery.discoveryplus.mobile,ENTERTAINMENT,Discovery Communications LLC,19.3.0.57,"Apr 22, 2025",34,"Location,Photos/Media/Files,Storage,Wi-Fi connection information,Other,Uncategorized"
Rumble,com.rumble.battles,VIDEO_PLAYERS,Rumble Inc,3.1.58,"Apr 24, 2025",34,"Phone,Photos/Media/Files,Storage,Camera,Microphone,Wi-Fi connection information,Device ID & call information,Other,Uncategorized"
OnePay  Mobile Banking,com.onefinance.one,FINANCE,"ONE Finance, Inc.",5.4.0,"Apr 18, 2025",34,"Contacts,Location,Photos/Media/Files,Storage,Camera,Microphone,Wi-Fi connection information,Other,Uncategorized"
Experian,com.experian.android,FINANCE,Experian,4.1.21.1,"Apr 25, 2025",34,"Location,Phone,Camera,Wi-Fi connection information,Device ID & call information,Other,Uncategorized"
Fubo: Watch Live TV & Sports,tv.fubo.mobile,ENTERTAINMENT,fuboTV,5.31.0,"Apr 16, 2025",34,"Phone,Camera,Device ID & call information,Other,Uncategorized"
BJ's Wholesale Club,com.brandingbrand.reactnative.and.bjs,SHOPPING,BJ's Wholesale Club,13.3.0,"Apr 24, 2025",34,"Location,Phone,Camera,Wi-Fi connection information,Device ID & call information,Other,Uncategorized"
Pizza Hut - Delivery & Takeout,com.yum.pizzahut,FOOD_AND_DRINK,Pizza Hut Inc.,6.0.13,"Apr 10, 2025",34,"Location,Phone,Photos/Media/Files,Storage,Camera,Wi-Fi connection information,Device ID & call information,Other,Uncategorized"
Ulta Beauty: Makeup & Skincare,com.ulta,BEAUTY,ULTA,9.7,"Apr 4, 2025",34,"Calendar,Contacts,Location,Phone,Photos/Media/Files,Storage,Camera,Microphone,Wi-Fi connection information,Device ID & call information,Other,Uncategorized"
Groupon  Deals & Coupons,com.groupon,SHOPPING,"Groupon, Inc.",25.5.473181,"Apr 29, 2025",34,"Contacts,Location,Other,Uncategorized"
GEICO Mobile - Car Insurance,com.geico.mobile,FINANCE,GEICO Insurance,5.86.0,"Apr 10, 2025",34,"Contacts,Location,Phone,Photos/Media/Files,Storage,Camera,Microphone,Wi-Fi connection information,Device ID & call information,Other,Uncategorized"
Redfin Houses for Sale & Rent,com.redfin.android,HOUSE_AND_HOME,Redfin,572.0,"Apr 24, 2025",35,"Identity,Contacts,Location,Photos/Media/Files,Storage,Camera,Wi-Fi connection information,Other,Uncategorized"
State Farm®,com.statefarm.pocketagent,FINANCE,State Farm Insurance,10.143.0,"Apr 21, 2025",35,"Location,Photos/Media/Files,Storage,Camera,Microphone,Wi-Fi connection information,Other,Uncategorized"
