App Name,App ID,Free app,Price,Installation
VR Apps Zone - VR Games App,com.irusu.vrzone,True,0,"100,000+"
Fulldive VR - Virtual Reality,in.fulldive.shell,True,0,"10,000,000+"
VR Space Virtual Reality 360,reality.virtual.space.experience.vr.astronaut.milky.way.black.hole.solar.system.wormhole.galaxy.spaceship,True,0,"500,000+"
VRChat,com.vrchat.mobile.playstore,True,0,"500,000+"
VR Roller Coaster 360,com.coaster.roller.vr,True,0,"1,000,000+"
VR Player mw (Local Videos),com.AAA.VRPlayer,True,0,"500,000+"
VR Games Store - Games & Demos,com.at.vr.appstore,True,0,"5,000,000+"
Cardboard,com.google.samples.apps.cardboarddemo,True,0,"10,000,000+"
Vr Games Hub : Virtual Reality,vr.games.hub,True,0,"500,000+"
VPro360,com.ImmotionStudios.Vodiac,True,0,"100,000+"
VR Movies Collection & Player,com.appex.live.vr.sbs.popular.movies,True,0,"500,000+"
VR Games Store,com.ataraxiangamestudios.vrstore,True,0,"500,000+"
VR Space Game,com.bce.VR,True,0,"1,000,000+"
Meta Horizon,com.oculus.twilight,True,0,"10,000,000+"
VR Zombie killer Rollercoaster,com.IrusuStudios.ZombieKiller,True,0,"100,000+"
VR Space Stalker,com.fibrum.bredos,True,0,"500,000+"
