App Name,App ID,Final,Running Result,Install Result,Remarks,App Category,Developer,App Version,Updated Date,Crash log,Camera_p
Royal Kingdom,com.dreamgames.royalkingdom,Pass,Pass,nan,App is successfully Installed,GAME_PUZZLE,"Dream Games, Ltd.",17824,"Apr 22, 2025",nan,No permission found
Spades - Card Game,com.blackout.spades,Pass,Pass,nan,App is successfully Installed,GAME_CARD,Blackout Lab,1.40.3,"Apr 15, 2025",nan,No permission found
Klarna | Shop now. Pay later.,com.myklarnamobile,Pass,Pass,nan,App has already been installed,App is not found,App is not found,App is not found,App is not found,nan,nan
Pizza Hut - Delivery & Takeout,com.yum.pizzahut,Pass,Pass,nan,App is successfully Installed,App is not found,App is not found,App is not found,App is not found,nan,nan
Snake Clash!,io.supercent.linkedcubic,Pass,Pass,nan,App is successfully Installed,GAME_ACTION,"Supercent, Inc.",58.0.0,"Apr 28, 2025",nan,No permission found
Mahjong Club - Solitaire Game,com.gamovation.mahjongclub,Pass,Pass,nan,App has already been installed,GAME_PUZZLE,GamoVation,4.1.1,"Apr 24, 2025",nan,No permission found
Zen WordÃÂ® - Relax Puzzle Game,kidultlovin.word.zen,Pass,Pass,nan,App is successfully Installed,GAME_WORD,Oakever Games,1.79.0,"Apr 28, 2025",nan,No permission found
Mob Control,com.vincentb.MobControl,Pass,Pass,nan,App is successfully Installed,GAME_ACTION,VOODOO,2.87.2,"Apr 30, 2025",nan,No permission found
Avatar World ÃÂ®,com.pazugames.avatarworld,Pass,Pass,nan,App is successfully Installed,GAME_ROLE_PLAYING,Pazu Games,1.141,"Apr 30, 2025",nan,No permission found
Talkie: Creative AI Community,com.weaver.app.prod,Pass,Pass,nan,App is successfully Installed,ENTERTAINMENT,SUBSUP,2.21.003,"Apr 30, 2025",nan,No permission found
Crossword Master - Word Puzzle,com.easybrain.crossword.puzzles,Pass,Pass,nan,App is successfully Installed,GAME_WORD,Easybrain,1.11.0,"Apr 2, 2025",nan,No permission found
Apple TV,com.apple.atve.androidtv.appletv,Pass,Pass,nan,App is successfully Installed,ENTERTAINMENT,Apple,1.1.2,"Apr 28, 2025",nan,No permission found
