Issue Originator,Registered Date,Source of Issue,Play Store App Category,PLM Folder,Main Issue ID,3rd Party Issue ID,Issue Description,Application,Developer,App ID,App ver.,Model,Reproducible on Ref. Model,Issue Type,Issue Status
Anna,3/20/2025,App Update Test,Entertainment,3rd Party App Issue Management,P250321-01525,P250322-00197,Navigation bar cut offs when DUT is fold.,The CW,The CW Network ,com.cw.fullepisodes.android,4.24.1  ,F946U,False,Function,Open
Anna,7/31/2023,App Update Test,Entertainment,3rd Party App Issue Management,,P230801-00937,Video continuously streaming while receiving incoming call.,The CW,The CW Network,com.cw.fullepisodes.android,4.11,F946U;#F936U;#F731U;#F721U;#S918U (T OS);#S908U;#A536V;#A326U,True,Function,Closed - Not Fixed
Hong,12/7/2022,App Consistency Test,Entertainment,[3rd Party]MQL_App Jira Local App Issues,P221208-00528,P221209-01179,Audio controls on Bluetooth device do not work as expected,The CW,,com.cw.fullepisodes.android,,S918U;#S908U (T OS);#S908U;#Pixel (T OS),True,Function,Open
Hong,4/1/2022,App Consistency Test,Entertainment,[3rd Party]MQL_App Jira Local App Issues,P220402-00538,P220607-00342,Continuity issue on settings page.,The CW,,com.cw.fullepisodes.android,,F926U N-1;#F926U,False,Continuity,Open
Vijaya,5/7/2021,App Consistency Test,Entertainment,3rd Party ? ?? ?? ??,P210508-00152 ,,Video/audio playing does not stop when test app is not the active app in multi-window mode ,The CW,,com.cw.fullepisodes.android,,F711U;#F926U,True,Multi-Window,Closed - Not Fixed
Hong,9/13/2023,App Update Test,Shopping,3rd Party App Issue Management,,P230914-01960,App stutters while scrolling on store page,Shipt: Same-day delivery,Shipt,com.shipt.groceries,2.199.2,F946U;#F936U;#F731U;#F721U;#S918U (T OS);#S908U;#A536V;#A326U;#Pixel (U OS);#All Models,True,Function,Closed - Not Fixed
Hong,7/28/2023,App Update Test,Shopping,3rd Party App Issue Management,,P230729-00593,Continuity mismatch,Shipt: Same-day delivery,Shipt,com.shipt.groceries,1.84.2,F946U;#F936U;#F926U,False,Continuity (Folding),Closed - Not Fixed
Aswani,6/14/2021,App Consistency Test,Shopping,[3rd Party]App Compatibility Test_Local,P210615-00624,,Overlap issue is observed in multiwindow,Shipt: Same-day delivery,,com.shipt.groceries,,T738,True,Multi-Window,Closed - Not Fixed
Hong,10/24/2023,App Update Test,Shopping,3rd Party App Issue Management,,P231024-10101,App does not ask for Camera or Photos and videos permissions before accessing camera and gallery,Temu: Shop Like a Billionaire,Temu,com.einnovation.temu,2.13.1,F946U;#F936U;#F731U;#F721U;#S918U (U OS);#S918U (T OS);#S908U;#A546V;#A536V;#Pixel (U OS);#All Models,True,Function,Closed - Not Fixed
Hong,7/12/2023,App Update Test,Shopping,3rd Party App Issue Management,,P230713-00217,Continuity mismatch on full screen videos,Temu: Shop Like a Billionaire,Temu,com.einnovation.temu,1.84.2,F946U;#F936U;#F926U,True,Continuity (Folding),Closed - Not Fixed
Hong,5/16/2023,App Update Test,Shopping,3rd Party App Issue Management,P230516-09960,P230518-00001,App is split into 2 columns with redundant content,Temu: Shop Like a Billionaire,Temu,com.einnovation.temu,1.69.0,F936U,False,Full screen Layout,Closed - Not Fixed
Hong,8/17/2023,App Update Test,Shopping,3rd Party App Issue Management,,P230817-11918,"App restarts when resizing due to MW, continuity, etc.",SHEIN-Shopping Online,Roadget Business PTE. LTD.,com.zzkko,9.5.2,F946U;#F936U,True,App Restart,Closed - Not Fixed
Edwin,4/16/2025,VST Testing,Communications,SM-I610_NA_XAR,P250417-00966,,Camera Video Call is cutoff when in a call.,Telegram,Telegram FZ -LLC,org.telegram.messenger,11.9.0,SM-I610,False,Function,Open
Anna,6/5/2024,App Consistency Test,Communication,3rd Party App Issue Management,P240611-00316,P240620-00297,"Camera function closes when resizing due to MW, continuity, etc.",Telegram,Telegram FZ-LLC ,org.telegram.messenger,10.13.2  ,F946U;#F731U;#Pixel (U OS),True,Function,Closed - Not Fixed
Edwin,2/6/2024,App Update Test,Communications,3rd Party App Issue Management,P240215-00354,P240418-00653,App keyboard is cutoff in Multi-Window while on a call.,Telegram,Telegram FZ-LLC,org.telegram.messenger,10.6.4,F946U;#F936U,False,Function,Closed - Not Fixed
Hong,8/17/2023,App Update Test,Communication,3rd Party App Issue Management,,P230818-00591,Call status bar anchoring issue on group detail page,Telegram,Telegram FZ-LLC,org.telegram.messenger,10.0.2,F946U;#F936U;#F731U;#F721U;#S918U (T OS);#S908U;#A536V;#A326U;#Pixel (U OS);#All Models,True,Full screen Layout,Closed - Not Fixed
Hong,8/17/2023,App Update Test,Communication,3rd Party App Issue Management,P230818-00101,P230828-09440,Phone number autofill when logging in is inconveniently formatted,Telegram,Telegram FZ-LLC,org.telegram.messenger,10.0.2,F946U;#F936U;#F731U;#F721U;#S918U (T OS);#S908U;#A536V;#A326U;#All Models,True,Function,Closed - Not Fixed
Hong,8/17/2023,App Update Test,Communication,3rd Party App Issue Management,,P230818-00043,List of conversations does not auto update when adding a new account on the main screen,Telegram,Telegram FZ-LLC,org.telegram.messenger,10.0.2,F946U;#F936U,True,Function,Closed - Not Fixed
Hong,7/3/2023,App Consistency Test,Communication,3rd Party App Issue Management,,P230704-00313,Screen is cut off when sharing in portrait orientation,Telegram,Telegram FZ-LLC,org.telegram.messenger,9.6.7,F946U;#F936U;#F926U;#X818U;#X808U;#T978U,True,Full screen Layout,Closed - Not Fixed
Hong,8/19/2022,App Consistency Test,Communication,3rd Party App Issue Management,,P220820-00806,Folding DUT during call causes app to exit call screen.,Telegram,Telegram FZ-LLC,org.telegram.messenger,,F936U;#F926U,True,Continuity,Closed - Not Fixed
